age,gender,profile,store_type,period,special_event,day_of_week,hour,is_weekend,is_sales,is_holiday,total_items,nb_categories,has_shopping_list,items_alimentaire,items_vetements,items_electronique,items_maison,items_beaute,items_sport,items_librairie,shopping_time_min
26,homme,rapide,hypermarche,semaine,aucun,1,13,0,0,0,25,6,1,13,3,2,2,4,0,1,59.0227314483726
19,femme,methodique,supermarche,semaine,soldes_hiver,3,11,0,1,0,10,5,1,5,1,0,0,1,2,1,43.21126222381123
34,femme,normal,boutique,semaine,soldes_ete,0,18,0,1,0,21,7,1,13,2,1,2,1,1,1,53.02932452091607
27,homme,flaneur,supermarche,semaine,noel,1,20,0,0,1,23,6,1,9,5,0,1,6,1,1,81.57051425034552
26,homme,flaneur,supermarche,semaine,aucun,1,9,0,0,0,20,6,1,13,1,2,1,0,1,2,57.02812785916883
48,homme,normal,supermarche,weekend,aucun,5,20,1,0,0,15,6,0,7,1,0,4,1,1,1,55.85109378291423
19,homme,flaneur,centre_commercial,semaine,soldes_hiver,4,12,0,1,0,22,4,1,12,5,0,1,4,0,0,89.22918858879402
41,femme,rapide,supermarche,semaine,aucun,2,9,0,0,0,12,4,1,6,3,2,1,0,0,0,21.90193150138181
36,femme,rapide,supermarche,semaine,aucun,2,19,0,0,0,26,7,0,12,5,1,2,3,2,1,71.61549202773242
34,femme,normal,boutique,weekend,fin_annee,6,19,1,0,1,11,3,1,6,4,0,0,1,0,0,54.31899297215313
60,homme,flaneur,centre_commercial,semaine,aucun,0,15,0,0,0,20,6,1,7,2,2,6,2,0,1,83.22436801689642
66,homme,flaneur,supermarche,weekend,aucun,6,15,1,0,0,16,3,0,12,3,0,0,1,0,0,58.17661278578147
27,femme,normal,centre_commercial,semaine,aucun,3,12,0,0,0,18,5,1,11,2,1,1,3,0,0,74.24995860524155
67,femme,normal,boutique,semaine,soldes_hiver,0,13,0,1,0,21,6,1,11,3,2,1,3,0,1,58.748149239313406
45,femme,normal,supermarche,semaine,aucun,1,18,0,0,0,21,6,1,13,2,1,1,3,0,1,49.91245891516067
55,femme,methodique,centre_commercial,semaine,soldes_ete,1,15,0,1,0,17,5,1,8,1,0,3,2,3,0,77.72916783351747
65,homme,normal,hypermarche,semaine,aucun,2,14,0,0,0,24,6,1,16,2,1,1,2,0,2,50.33993822886268
45,homme,flaneur,hypermarche,semaine,aucun,3,12,0,0,0,15,5,1,10,1,1,2,1,0,0,57.53468317707059
67,homme,normal,hypermarche,semaine,noel,4,12,0,0,1,34,7,0,17,5,3,2,4,1,2,113.4836524058211
69,femme,normal,hypermarche,semaine,aucun,3,10,0,0,0,20,5,0,10,5,3,1,0,1,0,61.32637363997657
67,femme,normal,supermarche,semaine,fin_annee,1,18,0,0,1,15,6,0,8,1,0,1,2,1,2,76.58858200100842
18,homme,methodique,centre_commercial,semaine,aucun,4,10,0,0,0,25,6,1,10,6,3,4,1,1,0,70.08396610357026
20,homme,normal,supermarche,semaine,aucun,3,20,0,0,0,14,5,1,8,1,3,0,1,0,1,42.76683324150006
32,homme,methodique,hypermarche,semaine,aucun,3,12,0,0,0,20,5,1,10,5,1,2,2,0,0,59.19702451454339
69,homme,rapide,supermarche,semaine,aucun,4,13,0,0,0,20,6,1,12,3,1,1,2,0,1,26.76259361370526
27,femme,normal,centre_commercial,semaine,fin_annee,1,12,0,0,1,22,6,0,9,3,1,2,6,0,1,97.24652286177016
38,homme,flaneur,supermarche,semaine,rentree,3,11,0,0,1,16,5,1,10,2,0,1,2,1,0,76.07890325183378
54,femme,flaneur,hypermarche,semaine,aucun,4,19,0,0,0,15,6,1,9,2,1,1,1,0,1,82.51961469333365
32,femme,methodique,hypermarche,weekend,soldes_ete,5,10,1,1,0,14,5,0,5,1,1,4,3,0,0,106.52186960521624
40,femme,rapide,centre_commercial,weekend,soldes_hiver,5,12,1,1,0,17,6,0,8,1,1,3,3,1,0,96.33542236371453
31,femme,rapide,hypermarche,semaine,aucun,1,19,0,0,0,21,7,0,12,1,1,3,2,1,1,67.14028629712045
32,homme,normal,centre_commercial,semaine,aucun,4,13,0,0,0,29,5,1,14,9,0,3,2,0,1,73.0211695524544
27,femme,rapide,supermarche,weekend,black_friday,5,9,1,1,0,24,6,1,8,5,1,7,2,1,0,71.53946765821514
26,homme,methodique,supermarche,semaine,fin_annee,4,9,0,0,1,25,7,1,9,6,3,1,3,1,2,81.47074801395605
61,homme,normal,hypermarche,semaine,fin_annee,3,14,0,0,1,20,6,1,10,3,0,2,3,1,1,85.82427860273148
56,femme,normal,boutique,semaine,paques,1,13,0,0,1,11,5,1,4,3,0,0,1,1,2,55.78550266962857
22,femme,rapide,supermarche,weekend,soldes_hiver,5,19,1,1,0,28,7,0,12,4,1,4,2,4,1,98.08565276843443
42,homme,normal,supermarche,weekend,aucun,6,12,1,0,0,23,5,0,14,5,1,2,0,1,0,57.90145646040358
59,femme,normal,supermarche,semaine,aucun,3,9,0,0,0,19,5,1,11,2,0,0,3,1,2,43.22792914497589
43,femme,rapide,hypermarche,weekend,aucun,6,20,1,0,0,17,5,0,6,3,4,0,3,0,1,52.4887449530313
25,femme,normal,supermarche,weekend,soldes_hiver,6,15,1,1,0,21,5,1,9,6,0,2,0,2,2,77.79514026602713
39,femme,normal,centre_commercial,semaine,paques,0,12,0,0,1,25,5,1,13,4,0,4,2,0,2,95.65900007182852
69,homme,methodique,supermarche,semaine,paques,0,11,0,0,1,22,6,1,9,4,2,1,5,1,0,72.49826700720499
42,homme,normal,supermarche,semaine,black_friday,1,15,0,1,0,21,7,1,10,4,1,2,1,1,2,69.62774227255477
65,homme,normal,supermarche,weekend,rentree,5,10,1,0,1,27,6,0,15,4,1,1,5,1,0,84.69479779600924
29,homme,methodique,hypermarche,weekend,fin_annee,5,18,1,0,1,12,3,0,10,0,0,1,0,1,0,79.80609012725877
26,homme,flaneur,hypermarche,weekend,aucun,5,9,1,0,0,21,7,1,8,2,1,4,2,2,2,71.03966354197401
27,femme,methodique,supermarche,semaine,noel,4,19,0,0,1,20,6,1,9,6,1,1,2,1,0,81.65449903424778
65,homme,methodique,boutique,semaine,soldes_ete,3,12,0,1,0,13,3,0,8,0,3,0,0,0,2,39.83930194917686
27,homme,normal,supermarche,weekend,aucun,5,16,1,0,0,19,5,0,6,6,2,0,3,2,0,61.23981165940284
26,homme,normal,centre_commercial,semaine,fin_annee,3,14,0,0,1,14,5,0,7,2,1,2,2,0,0,81.62408639293444
43,homme,rapide,hypermarche,semaine,rentree,1,17,0,0,1,19,6,0,8,3,0,1,4,1,2,77.63609363510767
52,femme,normal,supermarche,weekend,aucun,6,9,1,0,0,18,5,1,10,2,1,0,4,0,1,41.98046483231211
44,femme,flaneur,centre_commercial,weekend,aucun,5,9,1,0,0,20,5,0,8,5,0,2,3,2,0,94.11679703774978
48,femme,normal,centre_commercial,semaine,soldes_hiver,1,19,0,1,0,19,6,0,9,2,1,4,2,1,0,88.44607909186578
36,femme,flaneur,supermarche,weekend,soldes_ete,5,13,1,1,0,27,7,1,16,2,2,3,1,2,1,89.52908869412181
60,homme,flaneur,hypermarche,semaine,black_friday,0,14,0,1,0,22,7,1,8,4,2,4,2,1,1,96.00917855980524
55,homme,normal,supermarche,semaine,aucun,2,16,0,0,0,18,6,1,9,5,1,1,1,1,0,34.52046295921091
23,femme,flaneur,hypermarche,semaine,aucun,1,11,0,0,0,20,6,0,13,3,1,1,1,1,0,80.5516744281546
32,homme,normal,supermarche,weekend,aucun,5,14,1,0,0,23,6,1,11,4,3,0,2,1,2,61.34697991101035
46,femme,normal,centre_commercial,semaine,aucun,2,11,0,0,0,25,6,1,11,5,2,3,3,1,0,73.50730862389908
64,femme,flaneur,supermarche,semaine,aucun,1,16,0,0,0,20,6,0,6,3,2,3,5,0,1,75.58822736901703
62,femme,normal,supermarche,semaine,black_friday,4,20,0,1,0,18,6,1,11,2,1,2,1,0,1,48.389532217617514
22,femme,flaneur,supermarche,weekend,aucun,5,19,1,0,0,26,7,1,10,3,3,2,1,3,4,86.49857745711415
31,homme,normal,supermarche,semaine,aucun,4,19,0,0,0,21,6,1,7,3,2,2,2,0,5,42.941800753163555
19,femme,normal,hypermarche,semaine,aucun,0,12,0,0,0,29,7,0,10,5,1,5,2,2,4,68.46189998610792
40,homme,flaneur,supermarche,weekend,aucun,5,10,1,0,0,17,5,1,9,2,0,0,4,1,1,60.77228542134109
61,homme,normal,centre_commercial,weekend,paques,6,20,1,0,1,23,5,1,10,5,2,3,3,0,0,97.41731962000011
69,femme,normal,supermarche,semaine,soldes_ete,0,17,0,1,0,19,5,0,12,3,0,2,1,0,1,65.36622396450133
63,homme,rapide,centre_commercial,semaine,noel,2,18,0,0,1,20,5,1,12,4,2,1,1,0,0,84.32174123145006
36,homme,flaneur,hypermarche,semaine,aucun,1,16,0,0,0,19,6,1,9,3,1,3,2,1,0,75.47288815041115
41,femme,rapide,boutique,semaine,aucun,3,14,0,0,0,23,6,0,9,7,1,2,3,0,1,31.07480602793629
37,femme,flaneur,boutique,semaine,aucun,0,11,0,0,0,24,6,1,11,2,2,5,3,1,0,73.61142117683346
64,femme,normal,centre_commercial,semaine,aucun,3,10,0,0,0,28,7,0,15,5,2,2,2,1,1,108.99992071492291
44,femme,normal,centre_commercial,semaine,rentree,3,12,0,0,1,19,3,1,12,5,0,2,0,0,0,75.02338129212326
69,femme,methodique,supermarche,semaine,aucun,1,12,0,0,0,13,3,1,9,3,0,0,1,0,0,26.05484309840984
41,homme,rapide,centre_commercial,semaine,soldes_hiver,2,9,0,1,0,17,5,0,8,4,1,0,2,2,0,75.7204021850925
34,homme,normal,boutique,semaine,aucun,1,17,0,0,0,17,5,1,8,3,3,2,1,0,0,40.90641926985124
42,femme,flaneur,supermarche,weekend,soldes_hiver,5,18,1,1,0,18,7,1,7,2,2,2,3,1,1,98.68726432844753
63,femme,flaneur,hypermarche,semaine,black_friday,0,16,0,1,0,20,5,1,12,5,0,0,1,1,1,73.9862853060828
48,homme,normal,supermarche,semaine,soldes_ete,3,15,0,1,0,24,6,1,13,1,2,3,0,4,1,74.42737826525678
45,femme,normal,hypermarche,semaine,soldes_ete,1,14,0,1,0,29,6,1,11,5,3,6,3,0,1,82.38806700898569
67,femme,flaneur,hypermarche,semaine,fin_annee,1,11,0,0,1,15,6,0,5,3,0,1,2,2,2,84.83511895425238
45,femme,flaneur,hypermarche,semaine,soldes_ete,1,12,0,1,0,21,6,1,10,2,1,3,4,1,0,100.25393469524204
39,homme,flaneur,hypermarche,semaine,aucun,0,10,0,0,0,19,5,0,11,1,1,5,0,0,1,90.08708667089158
22,femme,normal,boutique,semaine,aucun,2,15,0,0,0,20,6,0,10,1,1,4,3,0,1,50.308147210026995
61,homme,methodique,hypermarche,weekend,noel,6,10,1,0,1,18,5,0,9,3,1,4,1,0,0,95.4553846217964
59,homme,normal,centre_commercial,semaine,noel,1,18,0,0,1,18,5,0,9,6,1,1,1,0,0,113.89683318797671
25,femme,rapide,supermarche,semaine,aucun,0,9,0,0,0,19,5,1,7,4,4,3,1,0,0,44.28676086491816
55,homme,normal,hypermarche,semaine,aucun,3,14,0,0,0,22,6,1,11,4,2,3,1,1,0,76.45890602173615
45,femme,rapide,hypermarche,weekend,fin_annee,5,12,1,0,1,19,4,0,11,3,0,3,2,0,0,75.16666252550203
64,homme,rapide,supermarche,weekend,aucun,6,16,1,0,0,20,6,0,8,3,2,4,2,1,0,52.991140516278826
29,homme,normal,supermarche,semaine,aucun,4,9,0,0,0,19,6,0,8,6,1,2,1,1,0,46.274266084008985
42,homme,rapide,hypermarche,weekend,aucun,6,17,1,0,0,26,6,0,12,3,4,3,1,3,0,91.37576413132555
55,femme,normal,hypermarche,weekend,paques,6,14,1,0,1,20,5,1,12,3,0,1,2,0,2,90.49272565544638
61,homme,rapide,hypermarche,semaine,aucun,0,10,0,0,0,17,5,1,6,3,0,2,5,0,1,37.906707207958625
32,femme,normal,supermarche,semaine,soldes_hiver,4,16,0,1,0,20,5,1,9,6,1,1,3,0,0,60.53245951828919
61,femme,rapide,supermarche,semaine,aucun,1,13,0,0,0,17,6,1,5,3,0,2,1,5,1,28.581527514837326
58,femme,rapide,hypermarche,semaine,soldes_hiver,1,13,0,1,0,20,5,1,5,9,1,4,1,0,0,57.50856950010758
68,homme,normal,supermarche,weekend,rentree,6,13,1,0,1,23,6,0,10,4,0,2,2,2,3,81.28238779048618
51,homme,normal,supermarche,semaine,aucun,0,15,0,0,0,19,5,1,8,4,0,3,3,0,1,38.665856029584354
62,femme,methodique,supermarche,semaine,aucun,4,15,0,0,0,20,5,0,12,3,0,2,1,2,0,42.16197079315428
30,homme,flaneur,supermarche,semaine,aucun,1,18,0,0,0,20,7,1,12,2,1,1,1,2,1,63.36245805570707
25,femme,flaneur,supermarche,semaine,aucun,3,19,0,0,0,17,4,1,13,2,1,1,0,0,0,76.85257657313791
30,homme,rapide,supermarche,semaine,paques,2,15,0,0,1,15,7,1,6,3,1,2,1,1,1,45.41298399457263
53,femme,normal,supermarche,semaine,aucun,2,20,0,0,0,22,6,0,11,4,2,0,2,1,2,65.53711419183585
23,homme,rapide,hypermarche,semaine,noel,1,18,0,0,1,19,6,1,7,5,1,4,1,1,0,66.03450719929108
55,femme,flaneur,supermarche,semaine,aucun,4,10,0,0,0,18,6,0,7,6,0,1,2,1,1,69.89679276782793
49,homme,rapide,hypermarche,weekend,aucun,5,16,1,0,0,14,6,1,7,0,1,2,2,1,1,30.160452429146144
38,femme,normal,boutique,semaine,aucun,1,9,0,0,0,22,5,0,11,0,1,6,3,0,1,59.12982680190292
61,femme,normal,centre_commercial,weekend,soldes_ete,5,10,1,1,0,20,5,0,9,5,0,3,1,0,2,91.32614815987051
61,femme,normal,supermarche,weekend,aucun,5,19,1,0,0,15,4,1,10,3,0,1,0,0,1,54.88311932619378
66,homme,methodique,boutique,semaine,noel,4,15,0,0,1,16,5,0,12,1,1,1,1,0,0,77.13757146170842
24,homme,flaneur,supermarche,weekend,aucun,5,12,1,0,0,19,5,1,13,2,2,1,1,0,0,59.72989168292967
43,femme,flaneur,supermarche,semaine,aucun,3,19,0,0,0,31,7,0,16,6,1,2,3,2,1,100.82259707220126
32,homme,normal,boutique,semaine,noel,4,18,0,0,1,11,7,1,3,2,1,1,1,2,1,57.44146158986878
66,homme,flaneur,centre_commercial,semaine,paques,1,18,0,0,1,15,4,1,7,4,0,3,1,0,0,99.7049038416981
59,homme,normal,hypermarche,weekend,aucun,6,17,1,0,0,14,4,1,8,0,0,0,2,2,2,52.8697374211625
40,homme,methodique,hypermarche,semaine,soldes_ete,3,19,0,1,0,16,4,0,12,0,1,2,1,0,0,78.91514649152373
69,femme,normal,hypermarche,semaine,aucun,0,17,0,0,0,14,3,1,10,3,0,0,1,0,0,38.93359896948022
55,femme,normal,supermarche,semaine,paques,2,11,0,0,1,14,6,1,1,5,1,4,1,2,0,59.90256071308721
58,homme,normal,supermarche,semaine,rentree,1,11,0,0,1,25,6,1,14,5,0,2,1,2,1,65.5550753816495
32,homme,normal,hypermarche,semaine,rentree,1,17,0,0,1,25,5,1,18,3,0,2,1,1,0,77.9005540177429
65,homme,flaneur,boutique,semaine,noel,1,18,0,0,1,21,7,1,6,2,3,3,3,3,1,92.85247260582538
57,femme,methodique,supermarche,semaine,aucun,3,20,0,0,0,23,6,0,9,4,2,2,4,0,2,55.6697315018789
33,femme,normal,centre_commercial,semaine,paques,0,16,0,0,1,26,6,0,13,5,2,4,1,0,1,114.74973096881222
49,homme,normal,supermarche,weekend,aucun,6,9,1,0,0,19,5,1,7,3,0,2,6,0,1,45.69047048759131
54,homme,normal,hypermarche,semaine,aucun,4,14,0,0,0,18,6,1,11,2,2,1,1,0,1,48.65134823767562
35,homme,flaneur,hypermarche,semaine,aucun,0,15,0,0,0,28,7,1,12,4,1,5,3,2,1,92.43027629255386
37,homme,normal,hypermarche,semaine,black_friday,3,19,0,1,0,20,6,1,10,3,2,3,1,1,0,77.27999028968121
63,homme,rapide,supermarche,semaine,rentree,1,16,0,0,1,22,6,1,12,4,1,2,1,0,2,73.60924574658469
19,femme,normal,hypermarche,semaine,aucun,2,20,0,0,0,20,7,1,10,1,1,4,2,1,1,57.64722963350866
40,femme,rapide,hypermarche,semaine,noel,1,20,0,0,1,13,3,0,9,3,0,1,0,0,0,74.49740787713672
47,homme,flaneur,supermarche,semaine,paques,4,10,0,0,1,14,4,0,10,1,1,0,2,0,0,72.01898357206719
20,homme,normal,supermarche,weekend,aucun,5,9,1,0,0,22,5,0,12,4,0,2,1,3,0,70.76878802158502
63,femme,normal,hypermarche,semaine,aucun,2,12,0,0,0,25,6,0,8,6,0,1,3,1,6,72.23577193785995
56,femme,flaneur,hypermarche,semaine,noel,1,9,0,0,1,23,7,1,13,1,1,2,3,2,1,100.14170648622692
64,homme,rapide,supermarche,weekend,aucun,6,10,1,0,0,24,6,0,15,1,1,4,2,0,1,64.25198610235853
66,femme,rapide,hypermarche,semaine,aucun,2,11,0,0,0,21,5,0,10,5,0,4,1,1,0,53.41851735969193
18,femme,normal,boutique,weekend,noel,5,12,1,0,1,24,5,1,14,3,0,2,2,0,3,75.80068508587127
58,homme,normal,supermarche,semaine,black_friday,0,20,0,1,0,14,6,1,6,3,0,2,1,1,1,57.12339551302733
39,homme,normal,hypermarche,semaine,soldes_hiver,3,20,0,1,0,21,6,1,8,4,3,2,3,1,0,65.58908175307255
46,homme,methodique,supermarche,semaine,noel,1,14,0,0,1,15,5,1,8,2,0,1,2,0,2,59.97604601177668
31,femme,flaneur,supermarche,semaine,aucun,4,16,0,0,0,12,4,0,8,2,0,0,1,0,1,62.33731707990637
65,homme,flaneur,supermarche,semaine,aucun,0,17,0,0,0,19,6,1,7,2,3,5,1,1,0,54.70800417365591
45,femme,methodique,hypermarche,semaine,soldes_hiver,1,12,0,1,0,13,5,1,5,4,0,1,2,0,1,74.51009459647607
38,femme,normal,centre_commercial,semaine,aucun,0,9,0,0,0,23,6,1,13,2,3,1,3,1,0,67.67883965236148
62,homme,normal,supermarche,semaine,rentree,4,13,0,0,1,14,4,1,9,2,0,2,1,0,0,54.31058369913043
49,homme,normal,hypermarche,semaine,aucun,1,13,0,0,0,14,6,1,9,1,1,1,1,1,0,57.80509523299165
23,homme,flaneur,hypermarche,weekend,aucun,5,17,1,0,0,29,7,1,15,2,1,4,5,1,1,98.38806942057602
18,homme,normal,supermarche,weekend,aucun,5,14,1,0,0,19,5,0,7,3,0,3,3,0,3,64.56738226909103
38,homme,normal,hypermarche,semaine,black_friday,4,13,0,1,0,21,5,1,11,3,0,4,1,2,0,62.11476597393042
21,femme,normal,centre_commercial,semaine,aucun,2,18,0,0,0,17,7,1,5,2,1,1,4,3,1,88.47135343597108
20,femme,normal,centre_commercial,semaine,aucun,4,18,0,0,0,20,6,1,8,2,1,0,5,3,1,84.46518971675715
66,femme,normal,centre_commercial,semaine,aucun,2,13,0,0,0,23,6,1,12,1,0,2,4,2,2,74.45552615500176
47,femme,flaneur,supermarche,semaine,paques,1,16,0,0,1,27,6,1,12,7,2,3,2,0,1,95.06554555297424
